Campaign_ID,Campaign_Name,Channel,Region,Start_Date,Budget_USD,Leads_Generated,Conversions,ROI_Percent,Status
CMP-00042,,Social Media,North,08-11-2023,31262,,N/A,N/A,Inactive
CMP-00043,Summer Sale,PPC,East,04-10-2024,$6082,4571.0,610.0,N/A,N/A
CMP-00044,black friday,SOCIAL MEDIA,East ,2023-09-28,$40452,,676,38.69,Completed
CMP-00045,Summer  Sale,,NORTH,03/02/2022,N/A,,806.0,N/A,Inactive
CMP-00046,New Year Promo,SOCIAL MEDIA,East,2022-03-15,11373 USD,N/A,N/A,,inactive
CMP-00047,Black Friday,EMAIL,North,03-19-2023,$40064,1875.0,601,,Pending
CMP-00048,New Year Promo,,north,2023/10/30,18729 USD,N/A,992,,Inactive
CMP-00049,,SOCIAL MEDIA,,2024-04-13,30307.00,N/A,885.0,246.0,N/A
CMP-00050,N/A,ppc,East ,2024/02/14,41486,1667.0,,125.82,Active
CMP-00051,New Year Promo,SOCIAL MEDIA,north,2022/01/15,$6608,3780,852.0,144.0,ACTIVE
CMP-00052,,email,N/A,19/07/2023,25638 USD,4163.0,884,N/A,
CMP-00053,Summer Sale,SOCIAL MEDIA,NORTH,2024/05/07,N/A,2827.0,N/A,279.18,active
CMP-00054,black friday,Email,south,2024/02/02,,3162,N/A,289.0,
CMP-00055,,Social Media,north,2023-04-13,"$47,846",,346.0,,inactive
CMP-00056,,organic,North,2023-09-25,15885.00,N/A,100,127.54,Active
CMP-00057,Holiday Special,ppc,south,18/03/2023,16503 USD,1475,N/A,182.0,Completed
CMP-00058,Holiday Special,,NORTH,2023-11-14,TBD,,,,N/A
CMP-00059,black friday,,South,2022/08/31,37981.00,2418,,-7.49,Active
CMP-00060,Holiday Special,email,East ,04-01-2024,14852 USD,2053,785.0,184.76,Active
CMP-00061,Summer Sale,EMAIL,south,20/01/2024,6406,3403.0,805.0,262.0,ACTIVE
CMP-00062,,SOCIAL MEDIA,south,2024-04-03,"$31,192",1848,N/A,,Inactive
CMP-00063,N/A,Social Media,N/A,01-13-2023,38809,N/A,25.0,264.0,active
CMP-00064,,SOCIAL MEDIA,,30/04/2022,3471.00,4035.0,908.0,32.06,inactive
CMP-00065,New Year Promo,Organic,South,2024/05/03,40847.00,268.0,N/A,284.67,
CMP-00066,SUMMER SALE,Email,,10/10/2022,N/A,750,654.0,,active
CMP-00067,Back to School,Social Media,north,01/08/2022,"$15,769",4882.0,133.0,67.7,Active
CMP-00068,Back to School,EMAIL,south,17/01/2022,,4309,N/A,231.19,N/A
CMP-00069,Summer  Sale,Email,north,2022/11/05,42661,N/A,702,141.98,Inactive
CMP-00070,Black Friday,PPC,NORTH,10-02-2023,TBD,2415.0,440,235.86,inactive
CMP-00071,Back to School,Organic,south,2024/04/27,$26631,2560,,N/A,Inactive
CMP-00072,Black Friday,Organic,South,02-02-2024,9027 USD,4600,N/A,N/A,Active
CMP-00073,SUMMER SALE,Social Media,East ,04/06/2023,10640.0,886.0,376,N/A,inactive
CMP-00074,N/A,Email,East ,11-05-2023,2397.00,2783.0,890.0,165.56%,Active
CMP-00075,Back to School,Organic,,04-10-2023,10815,4649,159.0,223.88,ACTIVE
CMP-00076,,EMAIL,N/A,03-01-2023,$14627,,694.0,140.86,active
CMP-00077,Summer Sale,Email,West,05/11/2022,9493.00,N/A,N/A,44.47,active
CMP-00078,SUMMER SALE,Social Media,,2024-06-01,$29088,2564.0,N/A,,Completed
CMP-00079,SUMMER SALE,Social Media,,2024-05-14,,,,58.69,inactive
CMP-00080,Back to School,ppc,south,15/01/2024,15984.00,1616.0,778,N/A,N/A
CMP-00081,,EMAIL,East ,11-27-2022,N/A,,605,N/A,N/A
CMP-00082,Holiday Special,Social Media,South,2023/09/22,30824,3684.0,667.0,89.67%,Active
CMP-00083,SUMMER SALE,Social Media,north,24/10/2023,N/A,3599.0,,N/A,
CMP-00084,SUMMER SALE,Social Media,south,2022/04/07,19121 USD,1231.0,679.0,274.19,completed
CMP-00085,Black Friday,SOCIAL MEDIA,north,01-21-2023,TBD,N/A,,-4.35%,
CMP-00086,New Year Promo,PPC,South,2022-10-30,TBD,309.0,134.0,106.78,Pending
CMP-00087,Summer Sale,Organic,south,24/11/2023,N/A,,N/A,270.23,Pending
CMP-00088,Holiday Special,Organic,north,2023/06/25,11120 USD,1133,N/A,260.98,inactive
CMP-00089,New Year Promo,SOCIAL MEDIA,N/A,10/06/2023,29170.0,3695,424,N/A,Inactive
CMP-00090,SUMMER SALE,Social Media,south,21/03/2024,N/A,N/A,459.0,,active
CMP-00091,Summer  Sale,organic,,04-24-2022,16073,1953.0,468,24.0,inactive
CMP-00092,Summer  Sale,email,East,2022/10/26,602.0,4674,684,152.0,inactive
CMP-00093,N/A,organic,North,2023/02/04,3353,,807,96.89,Inactive
CMP-00094,SUMMER SALE,PPC,North,12-27-2022,N/A,3920.0,N/A,1.46%,Active
CMP-00095,N/A,Organic,north,04-30-2023,2899.0,2343,,N/A,completed
CMP-00096,black friday,ppc,East,2023/05/24,TBD,2184,434,123.49%,inactive
CMP-00097,Black Friday,ppc,NORTH,2022/11/10,"$39,993",3636,,180.6,Active
CMP-00098,black friday,ppc,north,31/03/2024,2540 USD,3589,,102.27,Pending
CMP-00099,SUMMER SALE,ppc,N/A,2024-02-21,38112,,255,-2.0,completed
CMP-00100,Holiday Special,,West,09-19-2023,N/A,1639,462.0,268.59,
CMP-00101,N/A,organic,NORTH,04/11/2022,"$47,149",2961,205.0,,inactive
CMP-00102,N/A,PPC,East ,2022-03-30,N/A,N/A,843.0,12.86,Inactive
CMP-00103,N/A,ppc,East,18/06/2024,8956,,168.0,,inactive
CMP-00104,Holiday Special,email,north,09/10/2022,TBD,765.0,606.0,37.8,Pending
CMP-00105,Summer  Sale,Email,North,2022-03-25,42538.00,N/A,632,,ACTIVE
CMP-00106,black friday,SOCIAL MEDIA,N/A,2022-03-16,N/A,3804.0,,,completed
CMP-00107,N/A,organic,South,23/11/2022,N/A,2030,N/A,257.89%,
CMP-00108,Back to School,PPC,N/A,2023/06/12,N/A,N/A,N/A,,Active
CMP-00109,Summer  Sale,,NORTH,2023-07-04,7544.00,,N/A,,inactive
CMP-00110,N/A,,north,2022-10-14,,,,224.0,completed
CMP-00111,Summer Sale,PPC,south,2024/04/03,34534 USD,4223.0,326.0,,Pending
CMP-00112,N/A,organic,N/A,12-27-2023,31622,N/A,,236.99,Active
CMP-00113,Summer  Sale,EMAIL,West,2024-01-09,TBD,3114,248,167.5%,Active
CMP-00114,New Year Promo,Organic,West,2023/02/25,"$48,723",,N/A,152.9%,N/A
CMP-00115,SUMMER SALE,SOCIAL MEDIA,East ,11/05/2023,16655.00,,,N/A,
CMP-00116,Holiday Special,SOCIAL MEDIA,South,2023/08/11,"$26,356",2379,,276.44,N/A
CMP-00117,N/A,SOCIAL MEDIA,north,12-14-2023,9496 USD,1960,926.0,59.96,completed
CMP-00118,Black Friday,PPC,North,18/07/2023,N/A,,,190.23,Pending
CMP-00119,Summer Sale,PPC,,07/05/2024,,4058,,262.0,Pending
CMP-00120,SUMMER SALE,SOCIAL MEDIA,N/A,2023/10/19,N/A,2235,338.0,216.65,Completed
CMP-00121,Holiday Special,EMAIL,West,2022/06/29,$28529,3283.0,N/A,,completed
CMP-00122,Holiday Special,ppc,NORTH,2023-08-20,17641.0,N/A,314.0,115.68,ACTIVE
CMP-00123,Holiday Special,ppc,East ,15/08/2022,N/A,4962,N/A,224.78%,active
CMP-00124,Black Friday,organic,N/A,06-25-2023,$5618,505.0,207.0,156.0,N/A
CMP-00125,Summer  Sale,,South,2023/06/07,TBD,3403,N/A,198.56,completed
CMP-00126,Back to School,EMAIL,South,2022/02/16,TBD,493,N/A,-0.16%,completed
CMP-00127,black friday,,,2023-01-20,TBD,,121.0,297.78%,active
CMP-00128,Holiday Special,,north,2023/03/11,15551,1270,783,-0.0,Active
CMP-00129,Black Friday,EMAIL,North,2023-04-03,,3595.0,772,33.44%,Pending
CMP-00130,SUMMER SALE,email,NORTH,16/06/2024,,2461.0,971.0,262.71,completed
CMP-00131,SUMMER SALE,Organic,north,2022/11/23,,N/A,246.0,N/A,Active
CMP-00132,black friday,organic,north,2022/05/18,16415,,94.0,,completed
CMP-00133,Black Friday,email,East ,12/01/2024,31917,2483,216.0,N/A,active
CMP-00134,black friday,email,north,11-26-2022,25447,2526.0,N/A,134.46,N/A
CMP-00135,SUMMER SALE,ppc,,16/02/2022,49078.00,4532.0,N/A,81.51%,completed
CMP-00136,,organic,south,2022/09/21,N/A,,173.0,213.0,Active
CMP-00137,Black Friday,Email,North,27/02/2023,"$41,833",N/A,382,182.0,N/A
CMP-00138,N/A,organic,,2022-01-13,TBD,-2348,N/A,239.91,Inactive
CMP-00139,Back to School,EMAIL,north,09-16-2022,$18019,N/A,578.0,296.97,Inactive
CMP-00140,black friday,Organic,north,2023-05-03,"$42,229",N/A,,165.42,inactive
CMP-00141,Summer  Sale,,NORTH,2022-02-17,TBD,4616.0,,-5.15%,completed
CMP-00142,Summer  Sale,email,East ,2024/05/04,44870,3144.0,809,145.25,Inactive
CMP-00143,Black Friday,ppc,East ,2024/02/27,21889.00,,N/A,123.87,completed
CMP-00144,Holiday Special,email,South,03-26-2022,"$10,607",3191,93,,Inactive
CMP-00145,black friday,,north,2023/07/23,7269,4540.0,,N/A,completed
CMP-00146,N/A,email,East ,18/06/2023,"$45,412",N/A,149,,N/A
CMP-00147,Back to School,,East ,24/09/2023,30506.00,,861.0,N/A,
CMP-00148,Summer  Sale,PPC,NORTH,25/11/2022,,2614,N/A,,completed
CMP-00149,black friday,ppc,South,01/08/2023,"$39,312",4506,472.0,125.92,Inactive
CMP-00150,New Year Promo,SOCIAL MEDIA,West,16/09/2022,,605.0,490.0,114.25,completed
CMP-00151,SUMMER SALE,organic,East ,2023-10-16,7667,1362,N/A,N/A,Inactive
CMP-00152,Back to School,organic,north,26/07/2023,N/A,4821.0,353,139.66,Inactive
CMP-00153,SUMMER SALE,,West,2023/06/18,N/A,,45,-3.0,Completed
CMP-00154,N/A,PPC,south,2023/07/28,,1511,N/A,-0.95%,N/A
CMP-00155,Summer Sale,email,West,2022-10-13,TBD,1531.0,468,71.0,
CMP-00156,black friday,EMAIL,South,12-23-2022,30506.00,4834.0,320,,Completed
CMP-00157,Summer  Sale,PPC,East ,2023/01/28,TBD,N/A,295.0,48.0,Active
CMP-00158,,PPC,West,2024/04/14,N/A,N/A,N/A,141.5,active
CMP-00159,Back to School,organic,NORTH,2022/06/22,N/A,4503.0,,,inactive
CMP-00160,,organic,West,2023-03-12,48733.0,2438,,N/A,Inactive
CMP-00161,Summer  Sale,ppc,East ,2023/10/10,11377.0,1695.0,359.0,,ACTIVE
CMP-00162,N/A,Social Media,East,2024/02/08,"$4,385",1087,329.0,N/A,Completed
CMP-00163,black friday,Organic,N/A,2022-03-19,26901.00,N/A,335.0,-9.23,Inactive
CMP-00164,SUMMER SALE,Social Media,north,12/02/2023,N/A,,345.0,N/A,
CMP-00165,,Email,South,28/05/2024,,1657.0,,,Inactive
CMP-00166,SUMMER SALE,PPC,North,02-10-2023,48078.0,3516,97,56.0,active
CMP-00167,Summer Sale,Email,south,2024-04-16,N/A,580,748,,Completed
CMP-00168,New Year Promo,PPC,South,2023-06-28,N/A,2876,766.0,N/A,active
CMP-00169,New Year Promo,Social Media,East ,2024/01/18,23538,1145,86.0,162.0,ACTIVE
CMP-00170,Holiday Special,email,north,14/09/2023,49510,1960,N/A,187.81,
CMP-00171,Summer  Sale,Organic,south,14/07/2023,$31368,136,268.0,N/A,inactive
CMP-00172,N/A,Organic,,2023/12/20,TBD,,80.0,275.49%,inactive
CMP-00173,Black Friday,SOCIAL MEDIA,,18/01/2024,,950.0,,196.48%,Inactive
CMP-00174,Summer Sale,PPC,N/A,12-22-2022,11442.00,967,N/A,74.31,Pending
CMP-00175,N/A,ppc,North,27/05/2023,$24596,4701,233.0,-9.2,active
CMP-00176,black friday,PPC,East,2024-05-28,,N/A,,,Inactive
CMP-00177,Summer Sale,PPC,West,2024-04-03,N/A,,335,161.46%,ACTIVE
CMP-00178,Summer  Sale,email,N/A,2023/01/13,TBD,N/A,24.0,157.88,Active
,black friday,SOCIAL MEDIA,South,30/07/2022,28013,1166,44.0,268.16,
CMP-00180,Black Friday,EMAIL,South,02/06/2023,$42260,N/A,678.0,,completed
CMP-00181,Holiday Special,email,South,27/07/2022,$38819,,416,156.14%,N/A
CMP-00182,Black Friday,Social Media,East,04-06-2024,46683,,151,N/A,inactive
CMP-00183,Holiday Special,PPC,North,2023/02/19,36934.0,775.0,124,9.12%,Completed
CMP-00184,SUMMER SALE,Social Media,East ,08-24-2023,$5414,N/A,828.0,,Inactive
CMP-00185,Summer Sale,PPC,East ,2023/03/20,,1415.0,,128.0,Pending
CMP-00186,Holiday Special,,,2023/07/18,,1124,905.0,67.0,Active
CMP-00187,SUMMER SALE,,north,2024/03/11,TBD,2634.0,,,Active
CMP-00188,Summer  Sale,email,East,13/04/2022,TBD,458.0,N/A,99.99%,Completed
CMP-00189,SUMMER SALE,EMAIL,North,12-22-2023,37701 USD,N/A,,44.42,active
CMP-00190,N/A,,North,06/12/2022,"$9,051",2650.0,600.0,,Inactive
CMP-00191,black friday,EMAIL,South,12-11-2022,"$21,642",N/A,,44.0,Pending
CMP-00192,Summer  Sale,PPC,,11-11-2022,8845,4692.0,33.0,177.0,active
CMP-00193,,PPC,south,2024-02-03,16097,1375,,128.46%,Inactive
CMP-00194,Black Friday,Email,North,2023/01/31,"$48,510",N/A,359.0,106.0,active
CMP-00195,Summer Sale,SOCIAL MEDIA,North,11-23-2022,"$7,363",3075,560,N/A,Active
CMP-00196,New Year Promo,EMAIL,,2022-06-10,7136.0,3352,947.0,72.23%,Inactive
CMP-00197,N/A,,East,02-25-2022,750.00,4916,26.0,42.96,N/A
CMP-00198,black friday,,N/A,11-08-2023,,N/A,378.0,N/A,ACTIVE
CMP-00199,Summer  Sale,Email,East,2024-02-10,TBD,3391.0,232.0,9.0,completed
CMP-00200,,EMAIL,West,05-03-2023,5674,4113.0,819.0,200.04,N/A
CMP-00201,New Year Promo,email,West,2022-05-10,,1654,151.0,69.94,Inactive
CMP-00202,N/A,ppc,NORTH,2023/06/17,1310 USD,N/A,N/A,36.0,Inactive
CMP-00203,Black Friday,SOCIAL MEDIA,north,2022/12/19,N/A,4686,,114.92,completed
CMP-00204,SUMMER SALE,email,North,2024/02/03,18101,,,251.28,Inactive
CMP-00205,,ppc,NORTH,2024/01/17,40147.0,N/A,N/A,225.44,inactive
CMP-00206,N/A,Organic,East,2024-03-10,11886.0,N/A,,N/A,inactive
CMP-00207,Black Friday,Email,West,2023/01/17,N/A,,,,Active
CMP-00208,Summer  Sale,email,West,25/10/2023,,4204,N/A,273.0,Active
CMP-00209,Holiday Special,SOCIAL MEDIA,,01-21-2023,N/A,2475.0,406.0,21.72,
CMP-00210,Summer  Sale,SOCIAL MEDIA,NORTH,2023-12-02,32071.00,,,48.39%,Active
CMP-00211,SUMMER SALE,PPC,North,2023/11/03,,3314,597.0,242.96,active
CMP-00212,,ppc,north,04/11/2022,"$43,597",2406.0,,214.81%,
CMP-00213,Back to School,SOCIAL MEDIA,,03-18-2024,24858.00,N/A,54.0,N/A,active
CMP-00214,black friday,organic,NORTH,2023-02-28,10381.0,2807.0,N/A,34.4%,Inactive
CMP-00215,New Year Promo,ppc,North,2022/01/05,"$18,425",N/A,804,N/A,completed
CMP-00216,black friday,Email,North,01/07/2023,48384,2639.0,195,199.79%,active
CMP-00217,Black Friday,Organic,north,08-26-2023,11445,N/A,745.0,174.87,Completed
CMP-00218,,ppc,West,2022/06/18,"$1,753",1730.0,516.0,28.18,completed
CMP-00219,Summer  Sale,Email,East ,2022-02-19,43332,N/A,126.0,68.35%,Active
CMP-00220,Black Friday,organic,NORTH,30/09/2023,$27948,4190,289,233.0,active
CMP-00221,Back to School,ppc,,30/10/2022,3082.0,3937,13,271.13,N/A
CMP-00222,N/A,Social Media,South,20/09/2022,30433.00,2163,832.0,,
CMP-00223,Black Friday,Email,North,22/05/2024,43973,2928.0,274,105.51,completed
CMP-00224,Holiday Special,Organic,N/A,2024/03/30,"$43,022",926,60.0,N/A,Pending
CMP-00225,black friday,ppc,East ,30/01/2022,$32159,3369,,-6.0,Pending
CMP-00226,SUMMER SALE,organic,north,2023-12-06,28867.0,3947,N/A,36.0,Active
CMP-00227,New Year Promo,organic,N/A,2024/05/22,N/A,,51.0,N/A,active
CMP-00228,Summer  Sale,,South,2024/05/27,N/A,N/A,36.0,160.0,Pending
CMP-00229,N/A,email,N/A,12-16-2022,N/A,2719.0,N/A,N/A,Inactive
CMP-00230,Back to School,Email,south,12-30-2022,$36393,N/A,N/A,23.16%,Inactive
CMP-00231,Back to School,ppc,South,2024/02/15,3547 USD,N/A,468.0,N/A,Active
CMP-00232,N/A,Organic,East ,10/05/2023,"$45,838",848.0,,146.0,active
CMP-00233,SUMMER SALE,SOCIAL MEDIA,N/A,04/04/2024,TBD,2448.0,,210.68,active
CMP-00234,Holiday Special,ppc,East,29/12/2023,33523,945.0,491.0,N/A,inactive
CMP-00235,black friday,Email,north,2022-04-20,25460,1637.0,,,active
CMP-00236,,Social Media,East ,07/06/2024,,1946,294,277.21,
CMP-00237,Holiday Special,email,East ,2024/06/08,15281,4820.0,201.0,81.2,Inactive
CMP-00238,N/A,Social Media,,2022/02/11,"$18,791",,,134.56,Completed
CMP-00239,Summer  Sale,SOCIAL MEDIA,N/A,03-19-2024,5276,4304.0,533,234.0,inactive
CMP-00240,Back to School,email,south,12-06-2022,19739 USD,4345.0,843,25.56%,Pending
CMP-00241,Summer Sale,ppc,,2024-03-26,25788.00,,526.0,128.12,active
CMP-00242,Black Friday,PPC,north,2023-07-01,41586.0,3475.0,N/A,190.43,Completed
CMP-00243,SUMMER SALE,Email,South,2022-03-17,TBD,577.0,,N/A,completed
CMP-00244,Black Friday,organic,North,2023-10-19,$49386,2930,,N/A,completed
CMP-00245,Summer Sale,,East,01/07/2023,TBD,2416.0,,287.0,Completed
CMP-00246,Summer  Sale,EMAIL,,2023-07-05,20468,1734,871.0,34.0,ACTIVE
CMP-00247,Summer  Sale,Email,north,2023-04-18,19548.00,804.0,,100.71%,Inactive
CMP-00248,Back to School,ppc,N/A,04-07-2023,40892 USD,,,,active
CMP-00249,black friday,SOCIAL MEDIA,south,05-18-2022,31954,2502,179.0,15.41%,inactive
CMP-00250,Black Friday,Social Media,North,2024-05-19,38634 USD,1742.0,266.0,267.14,Completed
CMP-00251,Summer  Sale,SOCIAL MEDIA,East,2023-04-21,26503,1956.0,700.0,224.73%,Completed
CMP-00252,New Year Promo,,south,11/02/2022,32458.00,3026,211.0,N/A,N/A
CMP-00253,SUMMER SALE,Social Media,north,10-11-2023,TBD,4670,,172.18,inactive
CMP-00254,Back to School,organic,,12-28-2022,32406 USD,54.0,450.0,,active
CMP-00255,SUMMER SALE,EMAIL,South,08/11/2023,$27672,N/A,215.0,39.99,active
CMP-00256,Summer  Sale,PPC,East,2023-10-07,"$38,004",2115.0,N/A,175.8,ACTIVE
CMP-00257,Summer  Sale,,N/A,24/06/2022,27420 USD,1489.0,270.0,N/A,Pending
CMP-00258,black friday,Organic,East,2022-04-22,TBD,3438.0,98.0,137.52,inactive
CMP-00259,Black Friday,,East,2023-09-10,TBD,3446,714.0,N/A,completed
CMP-00260,Summer  Sale,Social Media,,05-18-2022,$31769,2320.0,,48.6,Pending
CMP-00261,Summer Sale,Organic,West,12-06-2023,"$27,294",,267.0,,completed
CMP-00262,N/A,,East,2023/01/15,17131 USD,N/A,753.0,255.05,active
CMP-00263,New Year Promo,Social Media,West,2023/06/05,22679 USD,426,5,245.0,completed
CMP-00264,Back to School,ppc,South,2023-09-16,,4268.0,58.0,188.49%,inactive
CMP-00265,Summer  Sale,organic,north,17/12/2023,40817,2946,999.0,N/A,
CMP-00266,Back to School,organic,North,2024-01-25,TBD,,231.0,N/A,Pending
CMP-00267,black friday,organic,South,2023-07-27,$33475,4204.0,832.0,N/A,Pending
CMP-00268,SUMMER SALE,,N/A,2023-08-24,$32086,3134.0,693.0,,inactive
,Holiday Special,email,NORTH,2022/04/06,44651,622.0,,,Completed
CMP-00270,Back to School,email,West,06-12-2024,14051.0,2916,122,200.0,Active
CMP-00271,,ppc,East ,2022/11/19,N/A,1498.0,N/A,58.85,inactive
CMP-00272,N/A,Email,north,2022/12/22,N/A,N/A,323,-6.0,Inactive
CMP-00273,Holiday Special,PPC,north,27/09/2022,18155 USD,N/A,434.0,,completed
CMP-00274,Summer  Sale,PPC,East ,04/12/2023,7045.0,N/A,200.0,N/A,Active
CMP-00275,New Year Promo,organic,north,01-08-2024,TBD,4651,707.0,N/A,Inactive
CMP-00276,Holiday Special,ppc,south,07-28-2023,$23053,2876.0,203.0,168.53%,ACTIVE
CMP-00277,N/A,,N/A,2022/03/22,"$40,717",,431.0,167.21,Inactive
CMP-00278,SUMMER SALE,ppc,NORTH,12-29-2023,40174.00,,765.0,151.49%,Completed
CMP-00279,Back to School,SOCIAL MEDIA,South,04/08/2022,$26520,3876,N/A,152.43,ACTIVE
CMP-00280,black friday,SOCIAL MEDIA,West,09-11-2022,"$29,542",4315,,N/A,N/A
CMP-00281,N/A,,East,16/12/2023,39220 USD,3563,,271.77%,Inactive
CMP-00282,black friday,SOCIAL MEDIA,East,2022-11-07,$506,2817.0,N/A,283.56,completed
CMP-00283,Summer Sale,organic,south,2022/07/13,37236.0,1337,N/A,58.38,active
CMP-00284,Summer  Sale,SOCIAL MEDIA,NORTH,10-27-2023,$27560,1494,N/A,182.0,N/A
CMP-00285,New Year Promo,Email,north,23/01/2022,"$7,202",3591.0,92.0,N/A,ACTIVE
CMP-00286,,Email,south,24/03/2022,,584.0,,243.35,active
CMP-00287,,email,North,2022/07/23,TBD,1707,,280.23,Active
CMP-00288,Holiday Special,,NORTH,07-23-2022,3913.0,N/A,332,41.88,completed
,Summer Sale,EMAIL,N/A,06/12/2023,24839.0,1291,,278.56,Active
CMP-00290,New Year Promo,organic,South,2022/05/09,TBD,N/A,750.0,-3.38,Completed
CMP-00291,,,north,2022/10/29,TBD,N/A,281.0,273.49,inactive
CMP-00292,Holiday Special,organic,south,2023-04-10,"$42,313",,794.0,64.02,inactive
CMP-00293,,organic,East,09-20-2023,21641,904,68,248.91,active
CMP-00294,Black Friday,Email,East ,2023/10/20,43617 USD,,226.0,212.53%,N/A
CMP-00295,Summer Sale,ppc,north,2024/02/01,24687,2177,,14.0,Inactive
CMP-00296,N/A,Organic,West,17/07/2022,"$37,857",N/A,764,227.55,N/A
CMP-00297,New Year Promo,PPC,north,02-16-2023,43592 USD,,,251.9,completed
CMP-00298,Summer  Sale,organic,West,01-20-2023,N/A,3252,291.0,,Active
CMP-00299,Back to School,ppc,North,03-01-2024,36784 USD,4682,,38.0,active
CMP-00300,Holiday Special,Social Media,East ,14/02/2023,48620,3952,719.0,244.05,ACTIVE
CMP-00301,Summer  Sale,Organic,South,2024-03-09,,3412,890.0,221.78,completed
CMP-00302,Summer Sale,ppc,north,02/08/2023,21919.0,1254,N/A,223.38,active
CMP-00303,black friday,PPC,East,2022-12-11,31685,4490,408.0,124.69%,N/A
CMP-00304,black friday,EMAIL,West,29/07/2023,,2649.0,91,,active
CMP-00305,Summer Sale,SOCIAL MEDIA,East,2022/12/25,41340,,159,25.0,Completed
CMP-00306,Black Friday,SOCIAL MEDIA,N/A,2023-04-28,TBD,1735.0,,160.13%,Active
CMP-00307,N/A,Email,NORTH,2022-06-24,19113 USD,2222,967,10.65,
CMP-00308,black friday,email,,2023-06-05,21173 USD,4354.0,N/A,163.81,active
CMP-00309,,Organic,East,01-19-2022,45347.00,1934.0,282,184.0,inactive
CMP-00310,SUMMER SALE,Organic,East,2022/03/31,34625 USD,1863.0,N/A,,N/A
CMP-00311,New Year Promo,EMAIL,north,02/12/2023,TBD,1107.0,671.0,274.0,inactive
